Region,Round1_Game,Team_A,Team_B,Prob_TeamA_Wins,Prob_TeamB_Wins
East,1,Duke,American,0.9621869476822749,0.03781305231772514
East,2,Mississippi State,Baylor,0.46419576478289976,0.5358042352171002
East,3,Oregon,Liberty,0.7196321252740474,0.2803678747259526
East,4,Arizona,Akron,0.8401915757381831,0.15980842426181685
East,5,BYU,VCU,0.6867033524313861,0.31329664756861386
East,6,Wisconsin,Montana,0.8701625537777029,0.1298374462222971
East,7,Saint Mary's,Vanderbilt,0.47943693719611824,0.5205630628038818
East,8,Alabama,Robert Morris,0.9452487163971965,0.05475128360280346
Midwest,1,Houston,SIU-Edwardsville,0.9778334613681435,0.02216653863185647
Midwest,2,Gonzaga,Georgia,0.39990487085188603,0.600095129148114
Midwest,3,Clemson,McNeese State,0.7028977862345116,0.2971022137654884
Midwest,4,Purdue,High Point,0.8414075841710094,0.15859241582899064
Midwest,5,Illinois,Texas,0.5974426905704592,0.4025573094295408
Midwest,6,Kentucky,Troy,0.8813041619657962,0.1186958380342038
Midwest,7,UCLA,Utah State,0.6492233250986714,0.3507766749013286
Midwest,8,Tennessee,Wofford,0.9240316323189743,0.07596836768102566
South,1,Auburn,Alabama State,0.9843111684118719,0.01568883158812806
South,2,Louisville,Creighton,0.46021932469420673,0.5397806753057932
South,3,Michigan,UC-San Diego,0.7350654962587109,0.26493450374128913
South,4,Texas A&M,Yale,0.8358848091116435,0.16411519088835647
South,5,Ole Miss,UNC,0.6231018795858618,0.37689812041413817
South,6,Iowa State,Lipscomb,0.8728278489408148,0.12717215105918522
South,7,Marquette,New Mexico,0.6387079363248835,0.36129206367511646
South,8,Michigan State,Bryant,0.9367712285646632,0.06322877143533678
West,1,Florida,Norfolk State,0.9764456994391058,0.023554300560894248
West,2,UConn,Oklahoma,0.4221879197389479,0.577812080261052
West,3,Memphis,Colorado State,0.6006767102517198,0.39932328974828024
West,4,Maryland,Grand Canyon,0.8197968521047503,0.18020314789524972
West,5,Missouri,Drake,0.7078656486408235,0.29213435135917654
West,6,Texas Tech,UNC Wilmington,0.8673554476974245,0.13264455230257555
West,7,Kansas,Arkansas,0.5810576608107592,0.41894233918924084
West,8,St. John's,Omaha,0.8995055766516717,0.10049442334832825
