Region,Round1_Game,Team_A,Team_B,SeedA,SeedB
East,1,Duke,American,1,16
East,2,Mississippi State,Baylor,8,9
East,3,Oregon,Liberty,5,12
East,4,Arizona,Akron,4,13
East,5,BYU,VCU,6,11
East,6,Wisconsin,Montana,3,14
East,7,Saint Mary's,Vanderbilt,7,10
East,8,Alabama,Robert Morris,2,15
Midwest,1,Houston,SIU-Edwardsville,1,16
Midwest,2,Gonzaga,Georgia,8,9
Midwest,3,Clemson,McNeese State,5,12
Midwest,4,Purdue,High Point,4,13
Midwest,5,Illinois,Texas,6,11
Midwest,6,Kentucky,Troy,3,14
Midwest,7,UCLA,Utah State,7,10
Midwest,8,Tennessee,Wofford,2,15
South,1,Auburn,Alabama State,1,16
South,2,Louisville,Creighton,8,9
South,3,Michigan,UC-San Diego,5,12
South,4,Texas A&M,Yale,4,13
South,5,Ole Miss,UNC,6,11
South,6,Iowa State,Lipscomb,3,14
South,7,Marquette,New Mexico,7,10
South,8,Michigan State,Bryant,2,15
West,1,Florida,Norfolk State,1,16
West,2,UConn,Oklahoma,8,9
West,3,Memphis,Colorado State,5,12
West,4,Maryland,Grand Canyon,4,13
West,5,Missouri,Drake,6,11
West,6,Texas Tech,UNC Wilmington,3,14
West,7,Kansas,Arkansas,7,10
West,8,St. John's,Omaha,2,15
