Region,Team_A_Tournament,SeedA,Team_A_KenPom,Team_A_Index,Team_B_Tournament,SeedB,Team_B_KenPom,Team_B_Index
East,Duke,1,Duke,0,American,16,American,237
East,Mississippi State,8,Mississippi St.,31,Baylor,9,Baylor,28
East,Oregon,5,Oregon,32,Liberty,12,Liberty,59
East,Arizona,4,Arizona,13,Akron,13,Akron,96
East,BYU,6,BYU,23,VCU,11,VCU,30
East,Wisconsin,3,Wisconsin,12,Montana,14,Montana,160
East,Saint Mary's,7,Saint Mary's,21,Vanderbilt,10,Vanderbilt,47
East,Alabama,2,Alabama,5,Robert Morris,15,Robert Morris,137
Midwest,Houston,1,Houston,2,SIU-Edwardsville,16,SIUE,214
Midwest,Gonzaga,8,Gonzaga,8,Georgia,9,Georgia,33
Midwest,Clemson,5,Clemson,17,McNeese State,12,McNeese,58
Midwest,Purdue,4,Purdue,18,High Point,13,High Point,83
Midwest,Illinois,6,Illinois,19,Texas,11,Texas,40
Midwest,Kentucky,3,Kentucky,15,Troy,14,Troy,92
Midwest,UCLA,7,UCLA,26,Utah State,10,Utah St.,53
Midwest,Tennessee,2,Tennessee,4,Wofford,15,Wofford,117
South,Auburn,1,Auburn,3,Alabama State,16,Alabama St.,274
South,Louisville,8,Louisville,22,Creighton,9,Creighton,35
South,Michigan,5,Michigan,24,UC-San Diego,12,UC San Diego,36
South,Texas A&M,4,Texas A&M,16,Yale,13,Yale,72
South,Ole Miss,6,Mississippi,25,UNC,11,North Carolina,29
South,Iowa State,3,Iowa St.,9,Lipscomb,14,Lipscomb,81
South,Marquette,7,Marquette,27,New Mexico,10,New Mexico,42
South,Michigan State,2,Michigan St.,7,Bryant,15,Bryant,147
West,Florida,1,Florida,1,Norfolk State,16,Norfolk St.,179
West,UConn,8,Connecticut,34,Oklahoma,9,Oklahoma,37
West,Memphis,5,Memphis,49,Colorado State,12,Colorado St.,43
West,Maryland,4,Maryland,10,Grand Canyon,13,Grand Canyon,91
West,Missouri,6,Missouri,14,Drake,11,Drake,57
West,Texas Tech,3,Texas Tech,6,UNC Wilmington,14,UNC Wilmington,105
West,Kansas,7,Kansas,20,Arkansas,10,Arkansas,39
West,St. John's,2,St. John's,11,Omaha,15,Nebraska Omaha,156
