lambda_s,lambda_t,Variance,Entropy,LogLoss,Top_Team,Top_Prob
0.0,1.0,0.0009409476471074382,3.0889565466239612,1.87164718891285,Alabama,0.15387
0.1,0.9,0.0008636121127095728,3.1374040804295493,1.9332999923406382,Alabama,0.14467
0.2,0.8,0.0007594833347222223,3.1842992975282964,1.9858054897185689,Alabama,0.13727
0.30000000000000004,0.7,0.0006879256360000001,3.2238021459991852,2.0445378256719553,Alabama,0.12944
0.4,0.6,0.0006170847659361785,3.267182925569056,2.139106624001571,Alabama,0.11776
0.5,0.5,0.0005653897463283353,3.3014070849422357,2.220175956753328,Alabama,0.10859
0.6000000000000001,0.3999999999999999,0.0005171059755829903,3.3267737372911754,2.3029851730153856,Alabama,0.09996
0.7000000000000001,0.29999999999999993,0.00048113748669410144,3.348394517179638,2.4314417151190497,Alabama,0.08791
0.8,0.19999999999999996,0.0004645985918367347,3.3523540751685776,2.543638064851823,Auburn,0.08362
0.9,0.09999999999999998,0.00046287865969387755,3.3521022075785907,2.7194651039175084,Auburn,0.07836
1.0,0.0,0.00048757990612244897,3.3323069997566392,2.851112583944048,Duke,0.07193
